Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2001:Q3,Next9,15087189,16395407,3898373,647939,2742644,3421413,1302375,1672958,2709705,1308218,1009709,119767,178742
2001:Q3,Next40,14999439,18386791,6742378,1401865,1502606,3587735,1435754,962982,2753472,3387352,2538274,717754,131324
2001:Q3,Bottom50,1314879,3726662,1916000,755310,107891,194868,208235,64752,479607,2411783,1400574,954405,56804
2001:Q4,TopPt1,4262386,4293126,458607,142613,1289072,27472,38091,1095863,1241408,30740,20630,2755,7355
2001:Q4,RemainingTop1,7089700,7449485,1357159,372612,2037969,396478,360819,1460660,1463788,359785,260759,22643,76383
2001:Q4,Next9,15727556,17001278,3992956,659681,3077850,3518584,1377192,1638221,2736794,1273722,988213,132439,153070
2001:Q4,Next40,15397196,18863638,6914403,1423956,1625228,3629154,1506069,975318,2789509,3466442,2611677,745176,109589
2001:Q4,Bottom50,1299483,3768003,1927326,765438,116839,196774,214360,66903,480363,2468520,1444159,988814,35547
2002:Q1,TopPt1,4283324,4316639,469902,161585,1314768,28161,40393,1091045,1210785,33315,22546,2965,7804
2002:Q1,RemainingTop1,7205982,7573974,1420944,362761,2061300,381599,367875,1491336,1488159,367993,264152,22440,81401
2002:Q1,Next9,15976962,17277073,4115601,664921,3078516,3596627,1422330,1637615,2761463,1300111,1017773,132371,149967
2002:Q1,Next40,15625461,19173130,7082173,1437956,1617216,3656316,1558586,997902,2822982,3547669,2703072,740017,104580
2002:Q1,Bottom50,1314931,3790616,1939201,771071,113835,198075,218916,68828,480690,2475685,1455386,985723,34576
2002:Q2,TopPt1,4154261,4189070,484764,181684,1159104,28915,37831,1092915,1203858,34809,24366,3680,6763
2002:Q2,RemainingTop1,7101260,7477411,1484746,353068,1870892,365888,341888,1525837,1535093,376152,270153,23174,82825
2002:Q2,Next9,15787370,17114510,4244998,672277,2780273,3669223,1338752,1643185,2765802,1327140,1049891,138791,138458
2002:Q2,Next40,15507489,19162341,7207081,1456496,1496378,3679266,1457166,1022514,2843440,3654852,2808713,753298,92841
2002:Q2,Bottom50,1280233,3791469,1961041,779465,100587,199202,203136,70728,477311,2511236,1486525,998702,26009
2002:Q3,TopPt1,3900653,3937433,497619,184395,877595,29683,34856,1106186,1207099,36780,25647,4156,6977
2002:Q3,RemainingTop1,6821931,7214612,1534398,346497,1522700,350034,313188,1566773,1581022,392681,281384,24107,87190
2002:Q3,Next9,15382254,16730359,4309052,697031,2262145,3742428,1247317,1659474,2812911,1348105,1071606,144721,131778
2002:Q3,Next40,15363099,19131109,7371492,1476822,1285009,3702453,1344655,1050490,2900187,3768010,2919128,763685,85197
2002:Q3,Bottom50,1267889,3840773,2036447,786038,80050,200344,185718,72571,479605,2572884,1536361,1014939,21584
2002:Q4,TopPt1,3961679,4000258,508326,188708,972831,30335,36070,1032520,1231468,38579,27050,4824,6705
2002:Q4,RemainingTop1,7007446,7415543,1584556,339292,1632436,335982,320279,1560224,1642774,408097,291874,25219,91004
2002:Q4,Next9,15711330,17088141,4375695,716571,2384250,3832676,1322309,1592743,2863896,1376811,1096357,152435,128019
2002:Q4,Next40,15635256,19525586,7551766,1491807,1327978,3738140,1401923,1054171,2959801,3890330,3031348,779893,79089
2002:Q4,Bottom50,1274867,3914716,2095456,789806,81083,202029,189730,75028,481584,2639849,1584976,1034636,20237
2003:Q1,TopPt1,3915986,3956869,518946,209413,911340,31193,36266,1051578,1198134,40883,28287,4712,7884
2003:Q1,RemainingTop1,7003828,7430126,1651079,328828,1549853,318828,316906,1604681,1659951,426298,302611,25291,98396
2003:Q1,Next9,15837826,17235360,4506234,717060,2237743,3898655,1343646,1614290,2917732,1397534,1114704,151748,131082
2003:Q1,Next40,15757618,19741513,7718051,1501245,1263219,3755384,1408790,1084083,3010741,3983895,3134338,771223,78334
2003:Q1,Bottom50,1230328,3917442,2096962,793037,73095,202922,187655,76868,486903,2687114,1625864,1036149,25101
2003:Q2,TopPt1,4226294,4272384,532079,222689,1173690,31960,39813,1079837,1192316,46090,30144,5153,10793
2003:Q2,RemainingTop1,7379741,7829945,1711969,320076,1855506,303038,340002,1654424,1644930,450204,312775,26165,111264
2003:Q2,Next9,16626841,18099974,4619552,728491,2622644,3977973,1482776,1644599,3023939,1473133,1156663,157311,159159
2003:Q2,Next40,16157693,20307340,7890477,1516452,1403860,3782304,1540785,1116770,3056691,4149646,3272871,781289,95486
2003:Q2,Bottom50,1193439,3994110,2141863,798350,82009,204235,201501,78663,487488,2800671,1694743,1052013,53915
2003:Q3,TopPt1,4335625,4383923,545878,225018,1290689,32793,40648,1098326,1150572,48298,32488,5889,9921
2003:Q3,RemainingTop1,7588792,8046926,1764649,313534,1982156,286187,342147,1699001,1659251,458134,318062,26948,113124
2003:Q3,Next9,16973498,18493781,4700128,752745,2757159,4050337,1531746,1665553,3036113,1520283,1208821,164119,147343
2003:Q3,Next40,16349801,20636203,8081523,1535473,1443505,3803654,1574527,1146869,3050651,4286401,3406725,796193,83483
2003:Q3,Bottom50,1222100,4079459,2219701,804073,82485,205307,202750,80539,484604,2857359,1745442,1066526,45391
2003:Q4,TopPt1,4621262,4677416,558929,233440,1533925,33577,43764,1104909,1168872,56154,33745,6414,15995
2003:Q4,RemainingTop1,7989954,8479703,1825787,306004,2248808,270017,362786,1737193,1729107,489749,330527,28048,131174
2003:Q4,Next9,17677506,19217795,4800992,771799,3076356,4130151,1667082,1675093,3096322,1540289,1230840,171090,138359
2003:Q4,Next40,16774680,21186772,8284084,1555182,1544225,3830242,1697362,1173755,3101922,4412092,3523118,810552,78422
2003:Q4,Bottom50,1238512,4163812,2272912,811177,88366,206606,215055,82508,487189,2925301,1801028,1086827,37446
2004:Q1,TopPt1,5072781,5131289,581779,249094,1663854,34028,44202,1143705,1414627,58508,35244,6408,16856
2004:Q1,RemainingTop1,8485862,8991261,1921021,297729,2382725,258903,363656,1793361,1973866,505399,339340,28052,138007
2004:Q1,Next9,18495157,20060474,4997809,787856,3212692,4252914,1718685,1715519,3374999,1565317,1255728,170749,138840
2004:Q1,Next40,17359701,21867267,8619082,1580437,1577065,3888906,1726811,1209922,3265044,4507565,3628301,803788,75476
2004:Q1,Bottom50,1264158,4228918,2314301,822650,88206,209287,215465,84270,494739,2964761,1836753,1087474,40534
2004:Q2,TopPt1,5139444,5201780,603806,246776,1673788,36822,44705,1244293,1351590,62336,37491,6750,18095
2004:Q2,RemainingTop1,8611914,9133193,1990747,292548,2381587,270374,362673,1883930,1951334,521279,346766,28525,145988
2004:Q2,Next9,18782202,20406700,5123592,820087,3166091,4333549,1753793,1815336,3394252,1624498,1308329,174204,141965
2004:Q2,Next40,17632721,22287538,8895778,1604920,1547277,3959202,1746092,1263792,3270476,4654816,3771889,808419,74508
2004:Q2,Bottom50,1304884,4347935,2431674,830782,82187,209906,214965,85621,492799,3043051,1900425,1096641,45985
2004:Q3,TopPt1,5324560,5386956,625779,265488,1693910,39629,44459,1347985,1369706,62396,39199,7419,15778
2004:Q3,RemainingTop1,8862110,9394272,2086579,282568,2391235,282209,357952,1976465,2017264,532162,357487,29700,144975
2004:Q3,Next9,19215276,20878550,5365095,825395,3132172,4416434,1780159,1918354,3440941,1663275,1345212,182305,135758
2004:Q3,Next40,17942728,22738532,9195786,1618428,1521117,4031088,1748908,1318727,3304478,4795804,3904741,826689,64374
2004:Q3,Bottom50,1287595,4414068,2499836,835981,76362,210540,212136,86956,492256,3126472,1963886,1118761,43825
2004:Q4,TopPt1,5661017,5725247,645276,256448,1887476,49956,50036,1394460,1441595,64230,39657,7567,17006
2004:Q4,RemainingTop1,9216571,9747498,2147683,293586,2598413,305937,397812,1978376,2025691,530927,359331,31272,140324
2004:Q4,Next9,20047345,21803124,5551929,843910,3409503,4495463,1904607,2010334,3587377,1755779,1414190,189526,152063
2004:Q4,Next40,18516414,23413650,9504105,1642745,1598495,4100360,1867422,1310060,3390463,4897236,3972598,849707,74931
2004:Q4,Bottom50,1331374,4610372,2618537,861530,84945,210989,229488,94789,510094,3278998,2078764,1142046,58188
2005:Q1,TopPt1,5732211,5792631,662118,254788,1896777,60694,52331,1447491,1418432,60421,38542,6250,15629
2005:Q1,RemainingTop1,9311980,9845804,2205410,302762,2602729,325167,410484,1984222,2015030,533824,372498,31790,129536
2005:Q1,Next9,20410784,22190796,5782600,851446,3418117,4535933,1898967,2108734,3594999,1780013,1442892,184573,152548
2005:Q1,Next40,18795729,23727185,9745496,1661054,1588545,4140442,1854057,1303522,3434068,4931456,4023344,835327,72785
2005:Q1,Bottom50,1356006,4776697,2738413,885088,85450,210131,230764,102558,524293,3420691,2216068,1147035,57588
2005:Q2,TopPt1,5995086,6057554,681443,265718,1974904,71458,56025,1548634,1459371,62468,38918,5907,17643
2005:Q2,RemainingTop1,9568312,10103233,2277154,310000,2681209,345524,435267,2017431,2036648,534921,376014,32875,126032
2005:Q2,Next9,21031437,22891774,6072766,848660,3525451,4583877,1952505,2253870,3654645,1860336,1515987,187179,157170
2005:Q2,Next40,19109233,24131163,9957063,1681665,1608528,4186065,1898705,1311195,3487942,5021930,4101901,844333,75696
2005:Q2,Bottom50,1366476,4941049,2845870,912317,88982,209475,239087,110022,535296,3574573,2352030,1162095,60448
2005:Q3,TopPt1,6233834,6297442,700136,253126,2118351,82335,60748,1667379,1415367,63608,39324,5820,18464
2005:Q3,RemainingTop1,9840200,10373443,2333552,320520,2828873,365695,464878,2061004,1998922,533244,379228,34314,119702
2005:Q3,Next9,21661325,23607409,6304035,861257,3725032,4628523,2016150,2416439,3655973,1946084,1591515,192604,161965
2005:Q3,Next40,19513399,24635110,10255490,1692576,1655014,4229103,1963670,1324327,3514930,5121711,4181789,861837,78085
2005:Q3,Bottom50,1433445,5172393,3018822,930436,95389,208669,250416,117392,551269,3738948,2491243,1183811,63894
2005:Q4,TopPt1,6399197,6464362,711144,241216,2165699,93280,64962,1730738,1457323,65165,39647,5756,19762
2005:Q4,RemainingTop1,10032754,10562828,2379553,331326,2871965,386175,492227,2073531,2028050,530074,381033,35631,113410
2005:Q4,Next9,22156018,24175172,6498216,875596,3785941,4673967,2075364,2525349,3740739,2019154,1662277,197656,159221
2005:Q4,Next40,19912020,25112752,10537169,1707127,1657956,4272640,2018267,1321499,3598094,5200732,4246957,878338,75437
2005:Q4,Bottom50,1497774,5377031,3165582,951004,97576,207847,260243,125075,569704,3879257,2615997,1203174,60086
2006:Q1,TopPt1,6839186,6907944,703276,251300,2531193,104230,68951,1749887,1499106,68758,40491,5432,22835
2006:Q1,RemainingTop1,10470885,10998714,2382848,338506,3252257,407618,518845,2060980,2037659,527828,380234,36416,111178
2006:Q1,Next9,22920203,25040278,6598358,870601,4295718,4725733,2134635,2590969,3824263,2120075,1749840,199105,171130
2006:Q1,Next40,20071177,25367124,10477829,1723726,1790908,4320822,2069410,1305729,3678700,5295946,4327468,884069,84409
2006:Q1,Bottom50,1466185,5496529,3212323,976677,113755,207194,269519,132963,584098,4030344,2747041,1212563,70740
2006:Q2,TopPt1,6843305,6914510,705465,239186,2446019,115341,71270,1826653,1510577,71206,40865,4877,25464
2006:Q2,RemainingTop1,10427423,10955121,2397129,349432,3152479,428104,530875,2081229,2015874,527698,383182,37070,107446
2006:Q2,Next9,23049608,25255765,6715372,884884,4166978,4767828,2122489,2712737,3885476,2206156,1827868,198579,179709
2006:Q2,Next40,20134239,25516133,10592378,1738103,1735892,4361616,2051763,1306950,3729432,5381894,4407039,884026,90829
2006:Q2,Bottom50,1466268,5662831,3344151,997626,110113,206183,270453,140523,593782,4196564,2893109,1225059,78396
2006:Q3,TopPt1,7040770,7114005,702075,223874,2555311,126405,75323,1899247,1531770,73236,40750,4957,27529
2006:Q3,RemainingTop1,10622050,11149178,2398202,360977,3257623,449930,557447,2099122,2025878,527128,386521,38348,102259
2006:Q3,Next9,23490881,25769943,6791201,902306,4311112,4819546,2179397,2830247,3936133,2279062,1888236,203532,187294
2006:Q3,Next40,20329009,25785828,10685377,1752729,1758657,4409522,2101742,1306964,3770837,5456819,4458654,901983,96182
2006:Q3,Bottom50,1457439,5824814,3452868,1018392,115019,205454,279687,148079,605315,4367375,3019486,1262622,85267
2006:Q4,TopPt1,7306991,7384557,690988,219968,2803126,137455,80436,1936285,1516299,77566,40473,5027,32066
2006:Q4,RemainingTop1,10898769,11426601,2391438,370187,3506727,472565,591540,2096591,1997554,527832,386795,39448,101589
2006:Q4,Next9,24066948,26415296,6840533,906043,4647192,4876574,2267374,2912392,3965189,2348349,1935690,208052,204607
2006:Q4,Next40,20540970,26045974,10696028,1763089,1833759,4461285,2185441,1296393,3809980,5505005,4476277,917862,110866
2006:Q4,Bottom50,1435360,5931403,3492180,1038972,126015,204868,293255,155751,620362,4496043,3107160,1286328,102555
2007:Q1,TopPt1,7579361,7656161,672757,229386,2984582,148636,84079,1940562,1596159,76801,41000,4396,31405
2007:Q1,RemainingTop1,11137256,11650638,2364701,377303,3683910,494391,613208,2075069,2042055,513382,383209,39039,91134
2007:Q1,Next9,24511101,26926785,6843428,898747,4887624,4925276,2296283,2961519,4113907,2415684,2007137,202178,206369
2007:Q1,Next40,20566529,26096149,10513758,1775809,1879594,4506656,2211367,1275958,3933007,5529620,4516817,903326,109477
2007:Q1,Bottom50,1382037,5977333,3470656,1063386,134078,203973,299742,163486,642013,4595297,3200831,1291233,103233
2007:Q2,TopPt1,7752704,7831196,660583,229507,3096716,158614,89113,1987176,1609486,78492,41054,4378,33060
2007:Q2,RemainingTop1,11239696,11749073,2344020,386102,3786932,514460,648270,2077669,1991619,509376,382618,40100,86658
2007:Q2,Next9,24910263,27409647,6861466,900450,5029241,4991629,2394050,3051770,4181041,2499384,2067281,206222,225881
2007:Q2,Next40,20564092,26154325,10390671,1788932,1896412,4553015,2299312,1268007,3957976,5590234,4550305,917139,122790
2007:Q2,Bottom50,1335774,6068688,3499026,1086630,139070,205892,313624,170984,653462,4732914,3302104,1309127,121683
2007:Q3,TopPt1,7977298,8058445,643360,222139,3143592,168575,92915,2002206,1785658,81147,40646,4738,35763
2007:Q3,RemainingTop1,11396831,11900195,2310520,395855,3820573,533637,671988,2061853,2105768,503364,384739,41579,77046
2007:Q3,Next9,25288307,27834254,6817042,906104,5078277,5050949,2435174,3109808,4436900,2545946,2116250,213373,216323
2007:Q3,Next40,20620633,26255596,10268790,1797534,1886680,4594066,2334473,1250476,4123576,5634963,4575447,942231,117285
2007:Q3,Bottom50,1286094,6163564,3535115,1106309,141162,207575,321144,178505,673754,4877470,3409591,1353631,114248
2007:Q4,TopPt1,7797982,7883680,650284,237056,2935830,169573,91737,1934968,1864232,85699,42819,5893,36987
2007:Q4,RemainingTop1,11203671,11713653,2283048,385157,3626337,551845,665261,2049979,2152026,509982,385003,45374,79605
2007:Q4,Next9,25181429,27753474,6766594,913260,4832059,5087643,2427889,3031955,4694074,2572045,2135892,219826,216327
2007:Q4,Next40,20484191,26160472,10120972,1825213,1808066,4650201,2281623,1255438,4218959,5676280,4593589,959093,123598
2007:Q4,Bottom50,1077728,6054845,3423114,1114102,130915,207387,316407,179282,683638,4977117,3475899,1379291,121927
2008:Q1,TopPt1,7441833,7532218,645261,239419,2652649,170654,88612,1752472,1983151,90386,45048,6330,39008
2008:Q1,RemainingTop1,10837453,11353496,2209341,376726,3351036,569027,638207,1968076,2241083,516043,383293,47527,85223
2008:Q1,Next9,24626074,27220428,6572219,933039,4477187,5115192,2316778,2836641,4969372,2594354,2152873,215456,226025
2008:Q1,Next40,20043505,25725570,9789265,1853931,1698864,4699342,2136933,1223128,4324106,5682065,4600123,944669,137273
2008:Q1,Bottom50,909819,5960276,3342089,1120263,117354,206885,300492,179908,693285,5050457,3523626,1388027,138804
2008:Q2,TopPt1,7227788,7319940,644162,229776,2516488,171583,89094,1705889,1962948,92153,48325,7693,36135
2008:Q2,RemainingTop1,10701777,11201599,2138160,369561,3227680,587630,637465,1964068,2277034,499822,369860,50568,79394
2008:Q2,Next9,24278003,26883326,6387504,957508,4324487,5154844,2319064,2777113,4962806,2605323,2184045,218966,202312
2008:Q2,Next40,19702359,25363310,9504330,1872874,1644916,4757502,2109967,1230946,4242775,5660951,4585686,952542,122723
2008:Q2,Bottom50,906667,5919914,3325387,1119022,110278,206790,299519,180190,678728,5013247,3501225,1390684,121338
2008:Q3,TopPt1,6781344,6880944,641023,236573,2113831,172633,85244,1602416,2029225,99600,48897,8264,42439
2008:Q3,RemainingTop1,10273910,10795487,2082321,359585,2820380,604968,604741,1923915,2399577,521577,375631,53278,92668
2008:Q3,Next9,23529034,26130720,6249127,967284,3792323,5183462,2193287,2658763,5086474,2601686,2152633,218040,231013
2008:Q3,Next40,19229207,24875182,9225081,1893017,1483945,4807311,1945268,1219093,4301467,5645976,4542550,948781,154645
2008:Q3,Bottom50,693866,5808361,3243859,1121275,91534,206322,280182,180193,684997,5114496,3539294,1415450,159752
2008:Q4,TopPt1,6147422,6246470,635001,245504,1528214,173889,79546,1452457,2131858,99048,49771,8802,40475
2008:Q4,RemainingTop1,9773930,10286401,2031956,347581,2207880,620254,547799,1852256,2678675,512471,377161,55857,79453
2008:Q4,Next9,22354776,24857328,6124771,963166,2984948,5194157,1940042,2490888,5159356,2502552,2123042,216406,163104
2008:Q4,Next40,18670389,24209326,8982895,1895720,1239367,4843650,1680349,1189638,4377707,5538938,4486487,941373,111078
2008:Q4,Bottom50,560666,5632112,3121001,1114275,64878,205250,248131,179656,698921,5071446,3547639,1421351,102456
2009:Q1,TopPt1,5802464,5899680,628736,247778,1298534,175366,78386,1305080,2165800,97216,50653,8250,38313
2009:Q1,RemainingTop1,9506551,10020729,1977464,336594,1970433,633441,533022,1778223,2791552,514178,382003,56567,75608
2009:Q1,Next9,21756086,24207695,5991627,964699,2677434,5186412,1895498,2323346,5168679,2451610,2101400,203152,147058
2009:Q1,Next40,18290902,23749107,8739224,1897463,1135563,4866201,1600161,1157861,4352634,5458205,4455651,899934,102620
2009:Q1,Bottom50,403617,5499043,3030262,1105522,53916,203555,238936,178596,688256,5095426,3592312,1410239,92875
2009:Q2,TopPt1,5823823,5925170,629299,241476,1671489,176500,83598,1122482,2000326,101348,52691,8686,39971
2009:Q2,RemainingTop1,9732055,10246124,1923086,327541,2394407,650300,574216,1676330,2700243,514068,376762,58691,78615
2009:Q2,Next9,22142930,24593801,5873010,977592,3254930,5210691,2104270,2115378,5057930,2450871,2104156,199050,147665
2009:Q2,Next40,18294946,23717092,8499930,1904007,1294526,4912896,1751285,1109641,4244807,5422146,4426845,884259,111042
2009:Q2,Bottom50,409021,5503276,3019460,1097899,69198,202946,260284,176510,676980,5094256,3592543,1398187,103526
2009:Q3,TopPt1,6185750,6290546,633189,230373,2057697,177629,89084,1075104,2027470,104796,53575,9208,42013
2009:Q3,RemainingTop1,10185742,10708582,1881307,318743,2828109,667514,618166,1660347,2734396,522840,379098,60883,82859
2009:Q3,Next9,22935217,25359354,5781201,991097,3845418,5238103,2330195,2050599,5122741,2424136,2076997,196847,150292
2009:Q3,Next40,18502220,23878142,8327576,1904831,1453528,4962099,1916166,1107703,4206239,5375922,4377854,876859,121209
2009:Q3,Bottom50,374797,5515670,3014132,1086222,85026,202449,283279,175530,669032,5140873,3609947,1414914,116012
2009:Q4,TopPt1,6153762,6262124,640421,243670,2117081,178950,91579,1008048,1982374,108362,55401,9881,43080
2009:Q4,RemainingTop1,10249052,10772334,1865634,307456,2908567,683203,636209,1629148,2742117,523283,374319,63049,85915
2009:Q4,Next9,23121155,25543529,5765771,994712,3963402,5252038,2443029,1964152,5160424,2422374,2073347,194269,154758
2009:Q4,Next40,18527520,23867419,8187564,1924916,1476457,5001425,1971850,1096786,4208421,5339900,4340678,867703,131519
2009:Q4,Bottom50,323027,5476760,2957875,1089378,86636,201498,291845,174096,675431,5153733,3603941,1420116,129676
2010:Q1,TopPt1,6348725,6465777,651947,243034,2259528,179401,94685,1029878,2007304,117052,56900,9916,50236
2010:Q1,RemainingTop1,10502010,11036049,1856911,297016,3078693,708235,655602,1659163,2780429,534039,368038,63805,102196
2010:Q1,Next9,23620759,26028100,5761875,1000551,4201491,5348427,2552404,1975783,5187569,2407342,2054165,183416,169761
2010:Q1,Next40,18746784,24012613,8123946,1929027,1533730,5102845,2031551,1119963,4171552,5265829,4273080,833503,159246
2010:Q1,Bottom50,309712,5433403,2919845,1081176,91855,203358,301369,174154,661647,5123691,3564679,1402416,156596
2010:Q2,TopPt1,6232399,6353399,664871,244443,2000420,179528,93543,1127872,2042722,120999,59050,10698,51251
2010:Q2,RemainingTop1,10328846,10860296,1849040,285660,2815547,726127,634180,1743531,2806211,531450,359446,66203,105801
2010:Q2,Next9,23453753,25863977,5773989,1001414,3859390,5449021,2472398,2072443,5235321,2410224,2058158,181002,171064
2010:Q2,Next40,18531080,23756687,8027328,1928692,1426163,5167995,1916725,1173913,4115871,5225607,4234692,823817,167098
2010:Q2,Bottom50,283669,5384842,2919416,1070702,79719,202925,288040,175734,648306,5101173,3538091,1396733,166349
2010:Q3,TopPt1,6582538,6704691,669878,240151,2301346,179388,98271,1170695,2044962,122152,60457,11656,50039
2010:Q3,RemainingTop1,10760317,11288296,1826568,275700,3158710,747738,671125,1789751,2818703,527979,356227,68804,102948
2010:Q3,Next9,24336388,26726225,5722992,1010453,4329828,5582599,2674711,2109602,5296040,2389836,2043396,181431,165009
2010:Q3,Next40,18841495,24018118,7935866,1932550,1550367,5258501,2050607,1206472,4083755,5176623,4185699,824861,166063
2010:Q3,Bottom50,307261,5420087,2935286,1061510,91799,203644,307041,176497,644310,5112826,3526903,1416974,168949
2010:Q4,TopPt1,6901873,7021432,661279,258833,2559692,166884,99511,1221029,2054203,119559,57443,13319,48797
2010:Q4,RemainingTop1,11109972,11640771,1831158,280528,3403052,769478,702268,1787583,2866704,530799,354491,69355,106953
2010:Q4,Next9,25003481,27398709,5690535,1000236,4677657,5704581,2803736,2158193,5363771,2395228,2017205,201725,176298
2010:Q4,Next40,19153693,24352001,7850511,1929214,1668945,5362957,2201823,1204450,4134101,5198308,4147651,884999,165658
2010:Q4,Bottom50,227832,5304276,2787658,1066691,101155,208180,319939,172111,648542,5076444,3422075,1477413,176956
2011:Q1,TopPt1,7156169,7271457,650275,269327,2788190,155142,101461,1261760,2045303,115288,55783,12752,46753
2011:Q1,RemainingTop1,11373594,11896466,1819151,287696,3612300,783050,724947,1777993,2891329,522872,348563,65028,109281
2011:Q1,Next9,25373002,27796996,5596593,1002847,4979420,5753895,2856592,2196523,5411126,2423994,2037462,195970,190562
2011:Q1,Next40,19323310,24526964,7717979,1933559,1774590,5413147,2315874,1198293,4173522,5203654,4169191,868851,165612
2011:Q1,Bottom50,236849,5256514,2705963,1074834,109179,210230,328816,167467,660025,5019665,3346960,1485708,186997
2011:Q2,TopPt1,7261995,7372006,648630,293765,2788734,143430,100678,1301186,2095582,110011,53466,12752,43793
2011:Q2,RemainingTop1,11432344,11949823,1835080,292688,3578458,796097,729807,1766811,2950882,517479,346890,62514,108075
2011:Q2,Next9,25523954,27954257,5602821,994437,4956186,5798003,2847428,2233647,5521736,2430303,2039354,199589,191360
2011:Q2,Next40,19426030,24635840,7635063,1941092,1789854,5459805,2355614,1191285,4263126,5209810,4176438,877886,155486
2011:Q2,Bottom50,262252,5225530,2657469,1087092,107324,212108,327126,162704,671708,4963278,3279282,1500336,183660
2011:Q3,TopPt1,6904391,7011088,643523,286330,2289770,131964,95201,1353015,2211286,106698,51347,12981,42370
2011:Q3,RemainingTop1,10962212,11475369,1829691,302683,3015000,805805,689927,1763156,3069108,513158,344075,59697,109386
2011:Q3,Next9,24707359,27149236,5527688,1010835,4222145,5811774,2619603,2284263,5672928,2441877,2046799,203946,191132
2011:Q3,Next40,19195606,24424175,7630878,1941061,1605363,5483984,2194070,1188505,4380314,5228569,4188417,891591,148561
2011:Q3,Bottom50,264730,5192012,2659655,1089721,83968,212951,300218,157973,687525,4927281,3210105,1533960,183216
2011:Q4,TopPt1,7153808,7256809,635630,301228,2481310,120016,97033,1423405,2198188,103001,48844,13192,40965
2011:Q4,RemainingTop1,11247477,11759949,1836285,308303,3184194,820650,716603,1770658,3123256,512473,344489,57275,110709
2011:Q4,Next9,25167210,27611301,5493900,1003776,4472717,5870525,2710787,2354688,5704908,2444091,2045839,210503,187749
2011:Q4,Next40,19476420,24724860,7578904,1937328,1699376,5542296,2333356,1191903,4441697,5248440,4198564,910232,139644
2011:Q4,Bottom50,251424,5150098,2581247,1094019,90246,215340,310704,153268,705274,4898674,3153242,1565023,180409
2012:Q1,TopPt1,7545067,7644192,631223,328143,2880312,107921,99510,1452299,2144784,99125,47157,12798,39170
2012:Q1,RemainingTop1,11684604,12188434,1850278,312659,3568879,836689,755140,1749780,3115009,503830,337756,52946,113128
2012:Q1,Next9,25901488,28368462,5488966,991039,5013545,5939212,2881329,2380594,5673776,2466974,2061456,206468,199050
2012:Q1,Next40,19811144,25057313,7474612,1941995,1874714,5608319,2534575,1179446,4443653,5246169,4209296,898682,138191
2012:Q1,Bottom50,276760,5104176,2491826,1105079,105410,218073,327485,147987,708316,4827416,3065958,1574147,187311
2012:Q2,TopPt1,7577083,7672207,643820,329373,2781272,96077,98985,1528615,2194065,95124,44769,12995,37360
2012:Q2,RemainingTop1,11634191,12135216,1876087,320689,3428482,848769,749059,1758535,3153595,501025,336457,50131,114437
2012:Q2,Next9,25861585,28335413,5531911,995856,4849375,5971798,2787248,2456820,5742406,2473828,2061131,212267,200430
2012:Q2,Next40,19860770,25120144,7528903,1936775,1853029,5647384,2526019,1183355,4444679,5259374,4214157,914547,130670
2012:Q2,Bottom50,350536,5134542,2541279,1106271,99102,219575,319903,142938,705475,4784007,2997154,1600528,186325
2012:Q3,TopPt1,7939825,8030217,655208,334096,3002573,83957,100631,1634355,2219398,90392,41750,13012,35630
2012:Q3,RemainingTop1,11992525,12496469,1913522,328195,3622431,863404,771615,1784240,3213061,503944,340558,47303,116083
2012:Q3,Next9,26496011,28969070,5595580,997808,5135046,6026401,2862160,2563510,5788565,2473059,2048984,218290,205785
2012:Q3,Next40,20304093,25582386,7645374,1932120,1957385,5703133,2657430,1196414,4490530,5278293,4219793,932318,126182
2012:Q3,Bottom50,382769,5162640,2550097,1108388,106534,221835,327917,137808,710061,4779871,2950929,1639530,189412
2012:Q4,TopPt1,8053543,8141281,663224,343684,3039663,71831,100617,1698719,2223543,87738,40678,13985,33075
2012:Q4,RemainingTop1,12103999,12592551,1949059,335484,3622471,877043,778284,1782061,3248149,488552,329941,44372,114239
2012:Q4,Next9,26752268,29256908,5649850,999463,5160527,6071281,2857906,2625898,5891982,2504639,2077865,228198,198576
2012:Q4,Next40,20568565,25877876,7735663,1933875,1989722,5751650,2716047,1193920,4556998,5309311,4237447,959060,112804
2012:Q4,Bottom50,463234,5167331,2536079,1114933,105980,223765,326846,132170,727558,4704097,2854711,1667290,182096
2013:Q1,TopPt1,8518050,8597568,683723,363221,3493722,58442,103239,1762127,2133094,79518,35562,12277,31679
2013:Q1,RemainingTop1,12607681,13114333,2017615,340950,4054316,907323,808433,1777835,3207861,506652,349042,40532,117078
2013:Q1,Next9,27845095,30299643,5806388,991297,5766344,6264674,2974164,2686705,5810071,2454548,2022496,222894,209158
2013:Q1,Next40,21260404,26546560,7918825,1934866,2182476,5911802,2891045,1190129,4517417,5286156,4228880,944877,112399
2013:Q1,Bottom50,449810,5188748,2516019,1122756,123395,230780,339064,126308,730426,4738938,2855285,1693194,190459
2013:Q2,TopPt1,8627124,8703166,711690,367316,3559968,44197,103509,1911805,2004681,76042,33203,12441,30398
